ids,values,text,labels,parents
Ori-Personalities,100,,16 Personalities,
Ori-Artisans,100,,Artisans : Tactical & Courageous,Ori-Personalities
Ori-Guardians,100,,Guardians : Logistical & Hard Working,Ori-Personalities
Ori-Rationals,100,,Rationals : Stategic & See The Big Picture,Ori-Personalities
Ori-Idealist,100,,Idealist : Diplomatic & Compassionate,Ori-Personalities
Ori-ISTP,100,,ISTP : The Craftsman,Ori-Artisans
Ori-ESTP,100,,ESTP : The Doer,Ori-Artisans
Ori-ISFP,100,,ISFP : The Artist,Ori-Artisans
Ori-ESFP,100,,ESFP : The Performer,Ori-Artisans
Ori-ISTJ,100,,ISTJ : The Inspector,Ori-Guardians
Ori-ESTJ,100,,ESTJ : The Supervisor,Ori-Guardians
Ori-ISFJ,100,,ISFJ : The Nurturer,Ori-Guardians
Ori-ESFJ,100,,ESFJ : The Caregiver,Ori-Guardians
Ori-ENTP,100,,ENTP : The Inventor,Ori-Rationals
Ori-INTP,100,,INTP : The Scientist,Ori-Rationals
Ori-ENTJ,100,,ENTJ : The CEO,Ori-Rationals
Ori-INTJ,100,,INTJ : The Mastermind,Ori-Rationals
Ori-ENFP,100,,ENFP : The Discoverer,Ori-Idealist
Ori-INFP,100,,INFP : The Idealist,Ori-Idealist
Ori-ENFJ,100,,ENFJ : The Mentor,Ori-Idealist
Ori-INFJ,100,,INFJ : The Counselor,Ori-Idealist
Ori-A1,100,,Description,Ori-ISTP
Ori-A2,100,,Characteristics,Ori-ISTP
Ori-A3,100,,Possible Careers,Ori-ISTP
Ori-A4,100,,Famous People,Ori-ISTP
Ori-A5,100,,Types in Quote,Ori-ISTP
Ori-A6,100,,Fun Fact,Ori-ISTP
Ori-B1,100,,Description,Ori-ESTP
Ori-B2,100,,Characteristics,Ori-ESTP
Ori-B3,100,,Possible Careers,Ori-ESTP
Ori-B4,100,,Famous People,Ori-ESTP
Ori-B5,100,,Types in Quote,Ori-ESTP
Ori-B6,100,,Fun Fact,Ori-ESTP
Ori-C1,100,,Description,Ori-ISFP
Ori-C2,100,,Characteristics,Ori-ISFP
Ori-C3,100,,Possible Careers,Ori-ISFP
Ori-C4,100,,Famous People,Ori-ISFP
Ori-C5,100,,Types in Quote,Ori-ISFP
Ori-C6,100,,Fun Fact,Ori-ISFP
Ori-D1,100,,Description,Ori-ESFP
Ori-D2,100,,Characteristics,Ori-ESFP
Ori-D3,100,,Possible Careers,Ori-ESFP
Ori-D4,100,,Famous People,Ori-ESFP
Ori-D5,100,,Types in Quote,Ori-ESFP
Ori-D6,100,,Fun Fact,Ori-ESFP
Ori-E1,100,,Description,Ori-ISTJ
Ori-E2,100,,Characteristics,Ori-ISTJ
Ori-E3,100,,Possible Careers,Ori-ISTJ
Ori-E4,100,,Famous People,Ori-ISTJ
Ori-E5,100,,Types in Quote,Ori-ISTJ
Ori-E6,100,,Fun Fact,Ori-ISTJ
Ori-F1,100,,Description,Ori-ESTJ
Ori-F2,100,,Characteristics,Ori-ESTJ
Ori-F3,100,,Possible Careers,Ori-ESTJ
Ori-F4,100,,Famous People,Ori-ESTJ
Ori-F5,100,,Types in Quote,Ori-ESTJ
Ori-F6,100,,Fun Fact,Ori-ESTJ
Ori-G1,100,,Description,Ori-ISFJ
Ori-G2,100,,Characteristics,Ori-ISFJ
Ori-G3,100,,Possible Careers,Ori-ISFJ
Ori-G4,100,,Famous People,Ori-ISFJ
Ori-G5,100,,Types in Quote,Ori-ISFJ
Ori-G6,100,,Fun Fact,Ori-ISFJ
Ori-H1,100,,Description,Ori-ESFJ
Ori-H2,100,,Characteristics,Ori-ESFJ
Ori-H3,100,,Possible Careers,Ori-ESFJ
Ori-H4,100,,Famous People,Ori-ESFJ
Ori-H5,100,,Types in Quote,Ori-ESFJ
Ori-H6,100,,Fun Fact,Ori-ESFJ
Ori-I1,100,,Description,Ori-ENTP
Ori-I2,100,,Characteristics,Ori-ENTP
Ori-I3,100,,Possible Careers,Ori-ENTP
Ori-I4,100,,Famous People,Ori-ENTP
Ori-I5,100,,Types in Quote,Ori-ENTP
Ori-I6,100,,Fun Fact,Ori-ENTP
Ori-J1,100,,Description,Ori-INTP
Ori-J2,100,,Characteristics,Ori-INTP
Ori-J3,100,,Possible Careers,Ori-INTP
Ori-J4,100,,Famous People,Ori-INTP
Ori-J5,100,,Types in Quote,Ori-INTP
Ori-J6,100,,Fun Fact,Ori-INTP
Ori-K1,100,,Description,Ori-ENTJ
Ori-K2,100,,Characteristics,Ori-ENTJ
Ori-K3,100,,Possible Careers,Ori-ENTJ
Ori-K4,100,,Famous People,Ori-ENTJ
Ori-K5,100,,Types in Quote,Ori-ENTJ
Ori-K6,100,,Fun Fact,Ori-ENTJ
Ori-L1,100,,Description,Ori-INTJ
Ori-L2,100,,Characteristics,Ori-INTJ
Ori-L3,100,,Possible Careers,Ori-INTJ
Ori-L4,100,,Famous People,Ori-INTJ
Ori-L5,100,,Types in Quote,Ori-INTJ
Ori-L6,100,,Fun Fact,Ori-INTJ
Ori-M1,100,,Description,Ori-ENFP
Ori-M2,100,,Characteristics,Ori-ENFP
Ori-M3,100,,Possible Careers,Ori-ENFP
Ori-M4,100,,Famous People,Ori-ENFP
Ori-M5,100,,Types in Quote,Ori-ENFP
Ori-M6,100,,Fun Fact,Ori-ENFP
Ori-N1,100,,Description,Ori-INFP
Ori-N2,100,,Characteristics,Ori-INFP
Ori-N3,100,,Possible Careers,Ori-INFP
Ori-N4,100,,Famous People,Ori-INFP
Ori-N5,100,,Types in Quote,Ori-INFP
Ori-N6,100,,Fun Fact,Ori-INFP
Ori-O1,100,,Description,Ori-ENFJ
Ori-O2,100,,Characteristics,Ori-ENFJ
Ori-O3,100,,Possible Careers,Ori-ENFJ
